title;url;nick;location
[S] Brass, Vinhos, Glen More, inne...;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=28278;norkbes;Kraków
[S] Spartacus + The Serpents and the wolf;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=25284;Lubel;Warszawa
[S]Great Western Trail, Heroes Wanted, Bomb Squad,inne KRK;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=37071;medicus;Kraków
[S] Wiedźmin - Gra Przygodowa, Ewolucja, Teomachia;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=35713;minnen;Warka
[S] Francis Drake, Rokoko, Set, Avalon, Steam Park;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=26125;brecol;Warszawa
Via Appia, Tortuga, Kingdom Builder promo i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=29125;idzi;Gdańsk
[S/W]WH Podbój - wymienię na coś... ,)(Wrocław);http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=40378;mr_pepeush;Wrocław
Lewis & Clark Sprzedam/Wymienię;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46214;Mlody3x6;Kraków/Krosno
[s/w] Claustrophobia, GoT druga edycja, Starship Merchants;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=35263;omam;Katowice
Times Stories ENG 100 zł;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46204;_Berenice_;Warszawa
[S] Warszawa - około 90 tutułów - czyszczenie półek;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=45323;Odokar;Warszawa
[S/W] Porządki: Catan, Patchwork, Zakazana Wyspa i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=43561;PiotrWro;Wrocław
[S/W] Kupcy i Korsarze, Tzolkin, Hostage Negotiator i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=24549;mat_eyo;Warszawa / Łuków, woj. lubelskie
[S] POZ Qwixx , Quoridor, Fasolki + dodatek;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=27941;DarkSide;Poznań
Eclipse, Rock of the Marne, Operation Bagration;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=31101;Archanioł;Płock
[S/W]Filary ziemi z dodatkiem i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=35296;veljarek;Warszawa - Ochota
[S] Memoir 44 + Dodatki;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=45749;Migdał;Warszawa
[S] nieaktualne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=43883;melee;Warszawa / CK
Madeira,Aquasphere,The Curse of The Black Dice, inne - Pń;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=23890;MójMistrzu;Poznań
[S] Bohaterowie wyklęci, Veto, Chupacabra, Slave I (X-Wing);http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=39741;Jedi Nadiru Radena;Radom
[S]AGoT LCG Eng, Atak Zombie;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=43805;dennyBgood;Wrocław
[S] Tide of Iron + bonusy, Hotel Samoa;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46192;wymiatasz;Wrocław
[S/W] Teby, Santiago de Cuba, China, Światowy Konflikt;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=45436;RunMan;Olsztyn
Talisman PL;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=40003;shaigan;Pruszków
[S/W]M.in.Imperial Assault, TS:Under the Mask, Stronghold;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=42417;Deem;Warszawa
[S] Rune Age Kamień Gromu;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46094;Xfenix;Wałbrzych
[S/W] Tash Kalar+Wiczna zima, Cavum;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=32623;istvankohany;Warszawa
[W]Noc Magów,Dominion Rozdarte K, D: Róg Obfitości;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=28534;brom69;Kielce
[S] Tash-Kalar, Badacze, Pocket Imperium, Artifacts INC;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=40434;opiklus;Warszawa
( ͡º ͜ʖ͡º) Thunderstone, Simurgh i drobnica [S];http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=23570;zomboni;Szczecin
Nieaktualne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=24261;Robespierre;Kraków
[S] Vast: The Crystal Caverns;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=26676;Victor Strogow;Kraków
[S/W] Kilkanaście gier - nowości ze wspieram plus...;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=25939;Christoforos;Lublin
[S] Zamki, Tiny Epic Kingdoms, Waleczne Piksele 1/2, Avalon;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=36790;niwgnip;Gliwice
[S] Unhappy King Charles, Dominion, Dominion Intrygal, inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46078;Leviathan;Lublin
